trade_id,signal_type,zone_name,entry_time,entry_price,target_price,exit_time,exit_price,exit_type,pnl,hold_duration,entry_date,exit_date,entry_hour,exit_hour
1410,SELL,sup1,2025-09-16T09:24:00,23667.05,23592.05,2025-09-16T14:05:00,23584.05,TARGET,83.0,281.0,2025-09-16,2025-09-16,09:24,14:05
1411,SELL,sup1,2025-09-16T14:16:00,23588.05,23513.05,2025-09-16T14:35:00,23615.55,STOP_LOSS,-27.5,19.0,2025-09-16,2025-09-16,14:16,14:35
1412,BUY,sup1,2025-09-16T14:35:00,23613.35,23688.35,2025-09-16T14:40:00,23590.55,STOP_LOSS,-22.8,5.0,2025-09-16,2025-09-16,14:35,14:40
1413,SELL,sup1,2025-09-16T14:53:00,23591.55,23516.55,2025-09-16T15:35:00,23510.05,TARGET,81.5,42.0,2025-09-16,2025-09-16,14:53,15:35
1414,SELL,sup1,2025-09-17T11:16:00,23380.95,23305.95,2025-09-17T12:55:00,23294.95,TARGET,86.0,99.0,2025-09-17,2025-09-17,11:16,12:55
1415,SELL,res1,2025-09-17T14:45:00,23357.95,23282.95,2025-09-17T14:51:00,23379.45,STOP_LOSS,-21.5,6.0,2025-09-17,2025-09-17,14:45,14:51
1416,BUY,res1,2025-09-17T14:51:00,23369.45,23444.45,2025-09-17T15:39:00,23442.45,TARGET,73.0,48.0,2025-09-17,2025-09-17,14:51,15:39
1417,BUY,res1,2025-09-18T10:29:00,23630.85,23705.85,2025-09-18T15:11:00,23591.35,STOP_LOSS,-39.5,282.0,2025-09-18,2025-09-18,10:29,15:11
1418,SELL,sup1,2025-09-18T15:11:00,23605.15,23530.15,2025-09-18T16:06:00,23634.85,STOP_LOSS,-29.7,55.0,2025-09-18,2025-09-18,15:11,16:06
1419,BUY,res1,2025-09-18T16:12:00,23634.85,23709.85,2025-09-18T16:30:00,23678.35,FORCE_EXIT,43.5,18.0,2025-09-18,2025-09-18,16:12,16:30
1420,SELL,res1,2025-09-19T13:30:00,23622.35,23547.35,2025-09-19T14:03:00,23650.35,STOP_LOSS,-28.0,33.0,2025-09-19,2025-09-19,13:30,14:03
1421,BUY,res1,2025-09-19T14:03:00,23646.65,23721.65,2025-09-19T16:30:00,23671.35,FORCE_EXIT,24.7,147.0,2025-09-19,2025-09-19,14:03,16:30
1422,SELL,res1,2025-09-22T09:00:00,23556.9,23481.9,2025-09-22T09:22:00,23482.85,TARGET,74.05,22.0,2025-09-22,2025-09-22,09:00,09:22
1423,SELL,sup1,2025-09-22T11:20:00,23466.35,23391.35,2025-09-22T12:32:00,23509.35,STOP_LOSS,-43.0,72.0,2025-09-22,2025-09-22,11:20,12:32
1424,BUY,sup1,2025-09-22T12:32:00,23506.85,23581.85,2025-09-22T13:00:00,23470.35,STOP_LOSS,-36.5,28.0,2025-09-22,2025-09-22,12:32,13:00
1425,SELL,res1,2025-09-22T13:51:00,23485.35,23410.35,2025-09-22T14:10:00,23515.85,STOP_LOSS,-30.5,19.0,2025-09-22,2025-09-22,13:51,14:10
1426,BUY,res1,2025-09-22T14:10:00,23511.85,23586.85,2025-09-22T14:54:00,23492.35,STOP_LOSS,-19.5,44.0,2025-09-22,2025-09-22,14:10,14:54
1427,SELL,sup1,2025-09-22T15:33:00,23476.15,23401.15,2025-09-22T15:55:00,23493.85,STOP_LOSS,-17.7,22.0,2025-09-22,2025-09-22,15:33,15:55
1428,BUY,sup1,2025-09-22T15:55:00,23491.85,23566.85,2025-09-22T16:12:00,23470.35,STOP_LOSS,-21.5,17.0,2025-09-22,2025-09-22,15:55,16:12
1429,BUY,sup1,2025-09-23T09:00:00,23646.8,23721.8,2025-09-23T10:49:00,23722.05,TARGET,75.25,109.0,2025-09-23,2025-09-23,09:00,10:49
