trade_id,signal_type,zone_name,entry_time,entry_price,target_price,exit_time,exit_price,exit_type,pnl,hold_duration,entry_date,exit_date,entry_hour,exit_hour
390,SELL,res1,2024-07-15 12:12:00,18708.45,18633.45,2024-07-15 14:51:00,18634.45,TARGET,74.0,159.0,2024-07-15,2024-07-15,12:12,14:51
391,SELL,res1,2024-07-16 11:06:00,18498.05,18423.05,2024-07-16 16:30:00,18509.55,FORCE_EXIT,-11.5,324.0,2024-07-16,2024-07-16,11:06,16:30
392,BUY,sup1,2024-07-17 09:14:00,18494.15,18569.15,2024-07-17 10:22:00,18447.65,STOP_LOSS,-46.5,68.0,2024-07-17,2024-07-17,09:14,10:22
393,BUY,sup1,2024-07-17 11:47:00,18472.15,18547.15,2024-07-17 12:53:00,18439.65,STOP_LOSS,-32.5,66.0,2024-07-17,2024-07-17,11:47,12:53
394,SELL,res1,2024-07-17 12:54:00,18440.15,18365.15,2024-07-17 13:18:00,18350.65,TARGET,89.5,24.0,2024-07-17,2024-07-17,12:54,13:18
395,SELL,res1,2024-07-17 15:16:00,18410.15,18335.15,2024-07-17 15:35:00,18452.65,STOP_LOSS,-42.5,19.0,2024-07-17,2024-07-17,15:16,15:35
396,BUY,res1,2024-07-17 15:36:00,18451.65,18526.65,2024-07-17 16:30:00,18478.65,FORCE_EXIT,27.0,54.0,2024-07-17,2024-07-17,15:36,16:30
397,SELL,res1,2024-07-18 09:01:00,18475.7,18400.7,2024-07-18 09:29:00,18398.65,TARGET,77.04999999999927,28.0,2024-07-18,2024-07-18,09:01,09:29
398,SELL,sup1,2024-07-18 09:31:00,18383.15,18308.15,2024-07-18 10:22:00,18422.65,STOP_LOSS,-39.5,51.0,2024-07-18,2024-07-18,09:31,10:22
399,BUY,sup1,2024-07-18 10:23:00,18423.65,18498.65,2024-07-18 14:55:00,18498.15,TARGET,74.5,272.0,2024-07-18,2024-07-18,10:23,14:55
400,BUY,res1,2024-07-18 16:17:00,18483.15,18558.15,2024-07-18 16:19:00,18470.65,STOP_LOSS,-12.5,2.0,2024-07-18,2024-07-18,16:17,16:19
401,SELL,res1,2024-07-18 16:21:00,18463.65,18388.65,2024-07-18 16:30:00,18454.65,FORCE_EXIT,9.0,9.0,2024-07-18,2024-07-18,16:21,16:30
402,SELL,res1,2024-07-19 11:22:00,18200.25,18125.25,2024-07-19 13:17:00,18246.25,STOP_LOSS,-46.0,115.0,2024-07-19,2024-07-19,11:22,13:17
403,BUY,res1,2024-07-19 13:18:00,18246.75,18321.75,2024-07-19 15:35:00,18190.75,STOP_LOSS,-56.0,137.0,2024-07-19,2024-07-19,13:18,15:35
404,SELL,sup1,2024-07-19 15:36:00,18189.75,18114.75,2024-07-19 15:40:00,18222.75,STOP_LOSS,-33.0,4.0,2024-07-19,2024-07-19,15:36,15:40
405,BUY,sup1,2024-07-19 15:41:00,18221.75,18296.75,2024-07-19 16:04:00,18199.75,STOP_LOSS,-22.0,23.0,2024-07-19,2024-07-19,15:41,16:04
