trade_id,signal_type,zone_name,entry_time,entry_price,target_price,exit_time,exit_price,exit_type,pnl,hold_duration
499,BUY,sup1,2025-07-08T15:05:00,24137.75,24212.75,2025-07-08T15:55:00,24214.75,TARGET,77.0,50.0
500,BUY,res1,2025-07-08T16:20:00,24211.05,24286.05,2025-07-09T09:00:00,24292.7,TARGET,81.65000000000146,1000.0
501,BUY,res1,2025-07-09T13:50:00,24493.15,24568.15,2025-07-09T15:20:00,24569.15,TARGET,76.0,90.0
502,BUY,res1,2025-07-11T13:30:00,24243.45,24318.45,2025-07-11T14:25:00,24208.45,STOP_LOSS,-35.0,55.0
503,BUY,sup1,2025-07-14T10:15:00,24051.65,24126.65,2025-07-15T09:00:00,24205.8,TARGET,154.14999999999782,1365.0
504,BUY,sup1,2025-07-15T12:20:00,24211.85,24286.85,2025-07-15T13:25:00,24177.55,STOP_LOSS,-34.29999999999927,65.0
505,BUY,sup1,2025-07-15T14:25:00,24210.05,24285.05,2025-07-15T15:35:00,24180.05,STOP_LOSS,-30.0,70.0
506,BUY,res1,2025-07-16T13:45:00,24154.45,24229.45,2025-07-16T15:50:00,24123.45,STOP_LOSS,-31.0,125.0
507,BUY,sup1,2025-07-16T16:10:00,24165.45,24240.45,2025-07-16T16:20:00,24147.45,STOP_LOSS,-18.0,10.0
508,BUY,sup1,2025-07-17T09:00:00,24238.6,24313.6,2025-07-17T09:30:00,24314.85,TARGET,76.25,30.0
509,BUY,sup1,2025-07-17T14:00:00,24200.35,24275.35,2025-07-17T15:40:00,24274.85,TARGET,74.5,100.0
510,BUY,sup1,2025-07-18T14:50:00,24336.25,24411.25,2025-07-18T15:55:00,24307.75,STOP_LOSS,-28.5,65.0
511,BUY,sup1,2025-07-18T16:00:00,24314.75,24389.75,2025-07-18T16:25:00,24268.25,STOP_LOSS,-46.5,25.0
512,BUY,sup1,2025-07-21T10:00:00,24281.75,24356.75,2025-07-21T12:05:00,24248.95,STOP_LOSS,-32.79999999999927,125.0
513,BUY,sup1,2025-07-21T15:20:00,24241.95,24316.95,2025-07-22T09:10:00,24200.35,STOP_LOSS,-41.60000000000218,1070.0
514,BUY,sup1,2025-07-22T12:00:00,24101.15,24176.15,2025-07-22T12:20:00,24079.35,STOP_LOSS,-21.80000000000291,20.0
515,BUY,sup1,2025-07-23T09:00:00,24300.8,24375.8,2025-07-24T09:00:00,24489.2,TARGET,188.40000000000146,1440.0
516,BUY,sup1,2025-07-24T14:40:00,24370.15,24445.15,2025-07-24T15:05:00,24319.15,STOP_LOSS,-51.0,25.0
517,BUY,sup1,2025-07-25T14:10:00,24142.55,24217.55,2025-07-25T15:05:00,24093.05,STOP_LOSS,-49.5,55.0
518,BUY,sup1,2025-07-25T15:10:00,24118.55,24193.55,2025-07-28T09:00:00,24481.8,TARGET,363.25,3950.0
519,BUY,res1,2025-07-29T10:15:00,24191.25,24266.25,2025-07-29T12:00:00,24264.45,TARGET,73.20000000000073,105.0
520,BUY,res1,2025-07-29T12:20:00,24295.25,24370.25,2025-07-29T13:20:00,24250.75,STOP_LOSS,-44.5,60.0
521,BUY,sup1,2025-07-29T14:35:00,24253.25,24328.25,2025-07-30T09:00:00,24180.6,STOP_LOSS,-72.65000000000146,1105.0
522,BUY,sup1,2025-07-30T13:50:00,24253.65,24328.65,2025-07-31T09:00:00,24380.8,TARGET,127.14999999999782,1150.0
523,BUY,sup1,2025-08-01T13:30:00,23637.95,23712.95,2025-08-01T14:20:00,23606.95,STOP_LOSS,-31.0,50.0
524,BUY,res1,2025-08-04T10:15:00,23669.15,23744.15,2025-08-04T11:00:00,23744.15,TARGET,75.0,45.0
525,BUY,sup1,2025-08-04T12:50:00,23732.35,23807.35,2025-08-04T13:05:00,23699.35,STOP_LOSS,-33.0,15.0
526,BUY,sup1,2025-08-04T13:45:00,23725.85,23800.85,2025-08-04T16:10:00,23697.35,STOP_LOSS,-28.5,145.0
527,BUY,sup1,2025-08-05T11:25:00,23853.75,23928.75,2025-08-05T12:15:00,23931.55,TARGET,77.79999999999927,50.0
528,BUY,sup1,2025-08-05T13:55:00,23972.05,24047.05,2025-08-05T16:00:00,23905.55,STOP_LOSS,-66.5,125.0
529,BUY,res1,2025-08-06T09:15:00,23974.95,24049.95,2025-08-06T10:20:00,23929.95,STOP_LOSS,-45.0,65.0
530,BUY,sup1,2025-08-06T15:45:00,23864.95,23939.95,2025-08-07T09:00:00,23946.3,TARGET,81.34999999999854,1035.0
531,BUY,sup1,2025-08-07T14:30:00,24294.55,24369.55,2025-08-07T16:05:00,24240.55,STOP_LOSS,-54.0,95.0
532,BUY,sup1,2025-08-08T10:50:00,24126.25,24201.25,2025-08-08T13:15:00,24211.25,TARGET,85.0,145.0
533,BUY,res1,2025-08-08T14:55:00,24180.25,24255.25,2025-08-08T15:35:00,24144.45,STOP_LOSS,-35.79999999999927,40.0
534,BUY,sup1,2025-08-08T16:25:00,24183.25,24258.25,2025-08-11T09:00:00,24224.5,TARGET,41.25,3875.0
535,BUY,res1,2025-08-11T11:30:00,24115.75,24190.75,2025-08-11T12:40:00,24090.45,STOP_LOSS,-25.299999999999272,70.0
536,BUY,sup1,2025-08-11T12:55:00,24073.95,24148.95,2025-08-11T14:00:00,24154.75,TARGET,80.79999999999927,65.0
537,BUY,sup1,2025-08-11T16:10:00,24076.95,24151.95,2025-08-12T09:00:00,24150.9,TARGET,73.95000000000073,1010.0
538,BUY,sup1,2025-08-12T09:40:00,24087.85,24162.85,2025-08-12T11:25:00,24037.35,STOP_LOSS,-50.5,105.0
539,BUY,sup1,2025-08-12T14:25:00,23988.85,24063.85,2025-08-12T14:30:00,24062.15,TARGET,73.30000000000291,5.0
540,BUY,sup1,2025-08-12T16:30:00,24019.85,24094.85,2025-08-13T09:00:00,24158.5,TARGET,138.65000000000146,990.0
541,BUY,res1,2025-08-13T10:50:00,24221.05,24296.05,2025-08-13T15:15:00,24188.55,STOP_LOSS,-32.5,265.0
542,BUY,sup1,2025-08-14T11:15:00,24267.45,24342.45,2025-08-14T13:30:00,24344.45,TARGET,77.0,135.0
543,BUY,sup1,2025-08-14T14:40:00,24285.15,24360.15,2025-08-14T16:10:00,24357.45,TARGET,72.29999999999927,90.0
544,BUY,res1,2025-08-15T09:00:00,24502.1,24577.1,2025-08-15T16:15:00,24351.85,STOP_LOSS,-150.25,435.0
545,BUY,sup1,2025-08-18T10:20:00,24287.75,24362.75,2025-08-19T09:00:00,24365.2,TARGET,77.45000000000073,1360.0
546,BUY,sup1,2025-08-19T10:00:00,24301.65,24376.65,2025-08-19T10:50:00,24382.65,TARGET,81.0,50.0
547,BUY,sup1,2025-08-19T14:05:00,24371.15,24446.15,2025-08-19T15:25:00,24446.15,TARGET,75.0,80.0
548,BUY,res1,2025-08-20T11:05:00,24350.55,24425.55,2025-08-20T15:05:00,24310.05,STOP_LOSS,-40.5,240.0
549,BUY,sup1,2025-08-21T15:05:00,24211.95,24286.95,2025-08-21T16:10:00,24283.25,TARGET,71.29999999999927,65.0
550,BUY,sup1,2025-08-22T15:10:00,24290.85,24365.85,2025-08-22T16:00:00,24405.65,TARGET,114.80000000000291,50.0
551,BUY,sup1,2025-08-25T14:15:00,24311.05,24386.05,2025-08-26T09:00:00,24139.0,STOP_LOSS,-172.04999999999927,1125.0
552,BUY,res1,2025-08-26T15:00:00,24211.45,24286.45,2025-08-27T09:00:00,24169.9,STOP_LOSS,-41.54999999999927,1080.0
553,BUY,sup1,2025-08-27T14:20:00,24136.15,24211.15,2025-08-27T14:40:00,24103.85,STOP_LOSS,-32.30000000000291,20.0
554,BUY,sup1,2025-08-28T11:55:00,24057.75,24132.75,2025-08-28T12:10:00,24032.25,STOP_LOSS,-25.5,15.0
555,BUY,sup1,2025-08-29T09:05:00,24003.65,24078.65,2025-08-29T09:45:00,23974.95,STOP_LOSS,-28.700000000000728,40.0
556,BUY,sup1,2025-08-29T11:30:00,23929.65,24004.65,2025-08-29T13:50:00,24007.65,TARGET,78.0,140.0
557,BUY,sup1,2025-09-01T09:15:00,23993.15,24068.15,2025-09-02T09:10:00,23913.05,STOP_LOSS,-80.10000000000218,1435.0
558,BUY,res1,2025-09-03T11:40:00,23646.45,23721.45,2025-09-03T14:50:00,23615.75,STOP_LOSS,-30.700000000000728,190.0
559,BUY,res1,2025-09-04T12:10:00,23726.65,23801.65,2025-09-04T12:15:00,23784.65,TARGET,58.0,5.0
560,BUY,sup1,2025-09-04T16:20:00,23761.65,23836.65,2025-09-05T09:00:00,23870.5,TARGET,108.84999999999854,1000.0
561,BUY,sup1,2025-09-05T09:35:00,23787.75,23862.75,2025-09-05T15:55:00,23714.05,STOP_LOSS,-73.70000000000073,380.0
562,BUY,res1,2025-09-08T11:35:00,23773.35,23848.35,2025-09-08T12:50:00,23735.85,STOP_LOSS,-37.5,75.0
563,BUY,res1,2025-09-08T16:05:00,23741.35,23816.35,2025-09-09T09:00:00,23813.7,TARGET,72.35000000000218,1015.0
564,BUY,sup1,2025-09-09T10:20:00,23737.45,23812.45,2025-09-09T10:30:00,23715.25,STOP_LOSS,-22.200000000000728,10.0
565,BUY,sup1,2025-09-09T14:05:00,23697.25,23772.25,2025-09-09T15:05:00,23646.75,STOP_LOSS,-50.5,60.0
566,BUY,sup1,2025-09-10T14:30:00,23752.05,23827.05,2025-09-10T15:00:00,23724.55,STOP_LOSS,-27.5,30.0
